common_name,scientific_name,MLE_combined,MLE_male,MLE_female
"Flying Fox, Island",Pteropus hypomelanus,-,,25.1
"Flying Fox, Large",Pteropus vampyrus,17.1,-,-
"Fox, Fennec",Vulpes zerda,11.1,-,-
"Fox, Swift",Vulpes velox,11,-,-
"Frog, Dusky Gopher",Lithobates (Rana) sevosa,6.6,-,-
"Frog, Golden Harlequin",Atelopus varius,3.6,-,-
"Frog, Panamanian Golden (Ahogado)",Atelopus zeteki,7.5,-,-
"Frog, Panamanian Golden (Sora)",Atelopus zeteki,-,5.1,4.2
"Frogmouth, Tawny",Podargus strigoides,-,21.3,14.9
"Galago, Northern Greater",Otolemur garnettii,13,-,-
"Galliwasp, Haitian",Celestus warreni,-,,14.2
"Gazelle, Grant's",Nanger granti,-,3.5,6.2
"Gazelle, Nubian Soemmerring's",Nanger soemmerringii,-,5.5,6.6
"Gazelle, Slender-Horned",Gazella leptoceros,-,4.6,5.6
"Gazelle, Thomson's",Eudorcas thomsonii,-,5.2,11
"Gecko, Giant Leaf-tailed",Uroplatus fimbriatus,4.7,-,-
"Gecko, Henkel's Leaf-tailed",Uroplatus henkeli,-,5.1,4.2
"Gecko, Lined Leaf-tailed",Uroplatus lineatus,4.6,-,-
"Gecko, Mossy Leaf-tailed",Uroplatus sikorae,2.5,-,-
"Gecko, Satanic Leaf-tailed",Uroplatus phantasticus,2.5,-,-
Gemsbok,Oryx gazella gazella,11.7,-,-
"Gerenuk, Southern",Litocranius walleri,-,3.7,5.7
"Gibbon, Lar (White-handed)",Hylobates lar,16.4,-,-
Giraffe (Combined Masai & Generic),Giraffa camelopardalis,-,14.7,20.2
"Goose, African Pygmy",Nettapus auritus,8.4,-,-
"Goose, Indian Pygmy",Nettapus coromandelianus,9.4,-,-
"Goose, Nene",Branta sandvicensis,7.8,-,-
"Goose, Red-breasted",Branta ruficollis,9.3,-,-
"Goose, Swan",Anser cygnoides,13.1,-,-
"Goral, Chinese",Naemorhedus griseus,-,12.4,
"Gorilla, Western Lowland",Gorilla gorilla gorilla,-,32.7,39.1
"Guineafowl, Crested",Guttera pucherani,6.9,-,-
"Guineafowl, Vulturine",Acryllium vulturinum,-,4.9,4
Hamerkop,Scopus umbretta,-,11.6,6.4
"Heron, Boat-billed",Cochlearius cochlearius,8.9,-,-
"Hippopotamus, Pygmy",Cheoropis liberiensi,-,,27.6
"Hippopotamus, River",Hippopotamus amphibius,37.4,-,-
"Hog, Red River",Potamochoerus porcus,15.3,-,-
"Hornbill, Abyssinian Ground",Bucorvus abyssinicus,-,,16.8
"Hornbill, Great",Buceros bicornis,27.2,-,-
"Hornbill, Red-billed",Tockus erythrorhynchus,11.1,-,-
"Hornbill, Rhinoceros",Buceros rhinoceros,20.9,-,-
"Hornbill, Wrinkled",Rhabdotorrhinus corrugatus,-,,10.6
"Horse, Asian Wild",Equus ferus przewalskii,17.9,-,-
"Hyena, Spotted",Crocuta crocuta,21,-,-
"Hyrax, Rock",Procavia capensis,5.4,-,-
"Ibex, Nubian",Capra nubiana,9.5,-,-
"Ibis, Puna",Plegadis ridgwayi,13.5,-,-
"Ibis, Sacred",Threskiornis aethiopicus,12.6,-,-
"Ibis, Scarlet",Eudocimus ruber,11.9,-,-
"Ibis, Waldrapp",Geronticus eremita,17.1,-,-
"Iguana, Fiji Banded",Brachylophus bulabula,-,16.2,7
Jaguar,Pantera onca,18,-,-
"Jay, Plush Crested",Cyanocorax chrysops,10.4,-,-
"Kangaroo, Red",Macropus rufus,-,8,9.9
Kea,Nestor notabilis,8.7,-,-
"Kingfisher, Guam",Todiramphus cinnamominus,-,8.8,5.9
Kinkajou,Potos flavus,26.4,-,-
"Kiwi, North Island Brown",Apteryx australis mantelli,12.6,-,-
Klipspringer,Oreotragus oreotragus,8.5,-,-
"Koala, Queensland",Phascolarctos cinereus adustus,10.1,-,-
"Kob, Uganda",Kobus kob thomasi,-,5.5,9.2
"Kookaburra, Laughing",Dacelo novaeguineae,17.2,-,-
"Kudu, Greater",Tragelaphus strepsiceros,-,6.8,9.6
"Langur, Francois'",Trachypithecus francoisi francoisi,14.4,-,-
"Langur, Silvered Leaf",Trachypithecus cristatus ultimus,9.4,-,-
"Lapwing, Masked",Vanellus miles,-,9.5,-
"Lapwing, Spur-winged",Vanellus spinosus,5.2,-,-
"Laughingthrush, White-crested",Garrulax leucolophus,10.5,-,-
"Lechwe, Nile",Kobus megaceros,9.3,-,-
"Lechwe, Red",Kobus leche,7.5,-,-
"Leiothrix, Red-billed",Leiothrix lutea,-,9.7,6.3
"Lemur, Black and White Ruffed",Varecia variegata,18.4,-,-
"Lemur, Collared",Eulemur collaris,23.4,-,-
