common_name,scientific_name,MLE_combined,MLE_male,MLE_female,status
"Dove, Pink-necked Fruit",Ptilinopus porphyrea,-,6.8,5,Least Concern
"Dragon, Komodo",Varanus komodoensis,-,19.5,12.2,Endangered
"Duck, Spotted Whistling",Dendrocygna guttata,-,,7.1,Least Concern
"Duck, West Indian Whistling",Dendrocygna arborea,8.9,-,-,Least Concern
"Duck, White-winged Wood",Asarcornis scutulata,5.7,-,-,Least Concern
"Duiker, Black",Cephalopus niger,-,,6.6,Least Concern
"Duiker, Blue",Philantomba monticola,4.7,-,-,Least Concern
"Duiker, Yellow-backed",Cephalophus silvicultor,10,-,-,Least Concern
"Eagle, Bald",Haliaeetus leucoephalus,16.5,-,-,Least Concern
"Eland, Common",Taurotragus oryx,-,11.4,13.6,Least Concern
"Elephant, African",Loxodonta africana,-,See Full Repo,38.6,Threatened
"Elephant, Asian",Elephas maximus,-,See Full Repo,46.9,Endangered
"Falcon, African Pygmy",Polihierax semitorquatus,7.1,-,-,Least Concern
"Flamingo, Caribbean",Phoenicopterus ruber,27.2,-,-,Least Concern
"Flamingo, Chilean",Phoenicopterus chilensis,-,31.1,27.2,Least Concern
"Flamingo, Greater",Phoenicopterus ruber roseus,-,,33.9,Least Concern
"Flamingo, Lesser",Phoeniconaias minor,-,21.7,15.3,Least Concern
"Flying Fox, Island",Pteropus hypomelanus,-,,25.1,Least Concern
"Flying Fox, Large",Pteropus vampyrus,17.1,-,-,Least Concern
"Fox, Fennec",Vulpes zerda,11.1,-,-,Least Concern
"Fox, Swift",Vulpes velox,11,-,-,Least Concern
"Frog, Dusky Gopher",Lithobates (Rana) sevosa,6.6,-,-,Least Concern
"Frog, Golden Harlequin",Atelopus varius,3.6,-,-,Least Concern
"Frog, Panamanian Golden (Ahogado)",Atelopus zeteki,7.5,-,-,Least Concern
"Frog, Panamanian Golden (Sora)",Atelopus zeteki,-,5.1,4.2,Least Concern
"Frogmouth, Tawny",Podargus strigoides,-,21.3,14.9,Least Concern
"Galago, Northern Greater",Otolemur garnettii,13,-,-,Least Concern
"Galliwasp, Haitian",Celestus warreni,-,,14.2,Least Concern
"Gazelle, Grant's",Nanger granti,-,3.5,6.2,Least Concern
"Gazelle, Nubian Soemmerring's",Nanger soemmerringii,-,5.5,6.6,Least Concern
"Gazelle, Slender-Horned",Gazella leptoceros,-,4.6,5.6,Endangered
"Gazelle, Thomson's",Eudorcas thomsonii,-,5.2,11,Least Concern
"Gecko, Giant Leaf-tailed",Uroplatus fimbriatus,4.7,-,-,Least Concern
"Gecko, Henkel's Leaf-tailed",Uroplatus henkeli,-,5.1,4.2,Least Concern
"Gecko, Lined Leaf-tailed",Uroplatus lineatus,4.6,-,-,Least Concern
"Gecko, Mossy Leaf-tailed",Uroplatus sikorae,2.5,-,-,Least Concern
"Gecko, Satanic Leaf-tailed",Uroplatus phantasticus,2.5,-,-,Least Concern
Gemsbok,Oryx gazella gazella,11.7,-,-,Least Concern
"Gerenuk, Southern",Litocranius walleri,-,3.7,5.7,Least Concern
"Gibbon, Lar (White-handed)",Hylobates lar,16.4,-,-,Least Concern
Giraffe (Combined Masai & Generic),Giraffa camelopardalis,-,14.7,20.2,Least Concern
"Goose, African Pygmy",Nettapus auritus,8.4,-,-,Least Concern
"Goose, Indian Pygmy",Nettapus coromandelianus,9.4,-,-,Least Concern
"Goose, Nene",Branta sandvicensis,7.8,-,-,Least Concern
"Goose, Red-breasted",Branta ruficollis,9.3,-,-,Least Concern
"Goose, Swan",Anser cygnoides,13.1,-,-,Least Concern
"Goral, Chinese",Naemorhedus griseus,-,12.4,,Least Concern
"Gorilla, Western Lowland",Gorilla gorilla gorilla,-,32.7,39.1,Least Concern
"Guineafowl, Crested",Guttera pucherani,6.9,-,-,Least Concern
"Guineafowl, Vulturine",Acryllium vulturinum,-,4.9,4,Least Concern
Hamerkop,Scopus umbretta,-,11.6,6.4,Least Concern
"Heron, Boat-billed",Cochlearius cochlearius,8.9,-,-,Least Concern
"Hippopotamus, Pygmy",Cheoropis liberiensi,-,,27.6,Least Concern
"Hippopotamus, River",Hippopotamus amphibius,37.4,-,-,Least Concern
"Hog, Red River",Potamochoerus porcus,15.3,-,-,Least Concern
"Hornbill, Abyssinian Ground",Bucorvus abyssinicus,-,,16.8,Least Concern
"Hornbill, Great",Buceros bicornis,27.2,-,-,Least Concern
"Hornbill, Red-billed",Tockus erythrorhynchus,11.1,-,-,Least Concern
"Hornbill, Rhinoceros",Buceros rhinoceros,20.9,-,-,Least Concern
"Hornbill, Wrinkled",Rhabdotorrhinus corrugatus,-,,10.6,Least Concern
"Horse, Asian Wild",Equus ferus przewalskii,17.9,-,-,Least Concern
"Hyena, Spotted",Crocuta crocuta,21,-,-,Least Concern
"Hyrax, Rock",Procavia capensis,5.4,-,-,Least Concern
"Ibex, Nubian",Capra nubiana,9.5,-,-,Least Concern
"Ibis, Puna",Plegadis ridgwayi,13.5,-,-,Least Concern
"Ibis, Sacred",Threskiornis aethiopicus,12.6,-,-,Least Concern
"Ibis, Scarlet",Eudocimus ruber,11.9,-,-,Least Concern
"Ibis, Waldrapp",Geronticus eremita,17.1,-,-,Endangered
"Iguana, Fiji Banded",Brachylophus bulabula,-,16.2,7,Least Concern
Jaguar,Pantera onca,18,-,-,Least Concern
"Jay, Plush Crested",Cyanocorax chrysops,10.4,-,-,Least Concern
"Kangaroo, Red",Macropus rufus,-,8,9.9,Least Concern
Kea,Nestor notabilis,8.7,-,-,Least Concern
"Kingfisher, Guam",Todiramphus cinnamominus,-,8.8,5.9,Least Concern
Kinkajou,Potos flavus,26.4,-,-,Least Concern
"Kiwi, North Island Brown",Apteryx australis mantelli,12.6,-,-,Least Concern
Klipspringer,Oreotragus oreotragus,8.5,-,-,Least Concern
"Koala, Queensland",Phascolarctos cinereus adustus,10.1,-,-,Least Concern
"Kob, Uganda",Kobus kob thomasi,-,5.5,9.2,Least Concern
"Kookaburra, Laughing",Dacelo novaeguineae,17.2,-,-,Least Concern
"Kudu, Greater",Tragelaphus strepsiceros,-,6.8,9.6,Least Concern
"Langur, Francois'",Trachypithecus francoisi francoisi,14.4,-,-,Least Concern
"Langur, Silvered Leaf",Trachypithecus cristatus ultimus,9.4,-,-,Least Concern
"Lapwing, Masked",Vanellus miles,-,9.5,-,Least Concern
"Lapwing, Spur-winged",Vanellus spinosus,5.2,-,-,Least Concern
"Laughingthrush, White-crested",Garrulax leucolophus,10.5,-,-,Least Concern
"Lechwe, Nile",Kobus megaceros,9.3,-,-,Least Concern
"Lechwe, Red",Kobus leche,7.5,-,-,Threatened
"Leiothrix, Red-billed",Leiothrix lutea,-,9.7,6.3,Least Concern
"Lemur, Black and White Ruffed",Varecia variegata,18.4,-,-,Least Concern
"Lemur, Collared",Eulemur collaris,23.4,-,-,Least Concern
"Lemur, Crowned",Eulemur coronatus,18.6,-,-,Least Concern
"Lemur, Mongoose",Eulemur mongoz,22.6,-,-,Least Concern
"Lemur, Mouse",Microcebus murinus,8.8,-,-,Least Concern
"Lemur, Red Ruffed",Varecia rubra,19.9,-,-,Least Concern
"Lemur, Ring-tailed",Lemur catta,16.7,-,-,Least Concern
"Leopard, Amur",Panthera pardus orientalis,18.1,-,-,Least Concern
"Leopard, Clouded",Neofelis nebulosa,13.1,-,-,Endangered
"Leopard, Snow",Unica unica,15.1,-,-,Least Concern
Lion,Panthera leo,16.9,-,-,Least Concern
"Lizard, Chinese Crocodile",Shinisaurus crocodilurus,-,13.9,11.5,Least Concern
"Lizard, Rio Fuerte Beaded",Heloderma horridum exasperatum,-,28.6,22.3,Least Concern
"Lizars, Texas Horned",Phrynosoma cornutum,-,3.3,2.6,Least Concern
"Loris, Pygmy",Nycticebus pygmaeus,12.3,-,-,Threatened
"Lynx, Canada",Lynx canadensis,14.8,-,-,Threatened
"Macaque, Japanese",Macaca fuscata,-,18.5,23.8,Threatened
"Macaque, Lion-tailed",Macaca silenus,26.6,-,-,Endangered
"Macaque, Sulawesi",Macaca nigra,14.7,-,-,Least Concern
"Macaw, Hyacinth",Anodorhynchus hyacinthinus,25.1,-,-,Threatened
"Magpie, Azure-winged",Cyanopica cyanus,10.2,-,-,Least Concern
"Magpie, Red-billed Blue",Urocissa erythrorhyncha,-,,11.3,Least Concern
Mandrill,Mandrillus sphinx,20.6,-,-,Least Concern
"Mangabey, Red-capped",Cercocebus torquatus,17.8,-,-,Endangered
"Markhor, Turkmenian",Capra falconeri heptneri,8.6,-,-,Least Concern
"Marmoset, Geoffroy's",Callithrix geoffroyi,7.4,-,-,Least Concern
"Marmoset, Pygmy",Callithrix pygmaea,-,6.5,5.4,Least Concern
Meerkat,Suricata suricatta,9.8,-,-,Least Concern
"Merganser, Scaly-sided",Mergus squamatus,4.1,-,-,Least Concern
"Monkey, Bolivian Gray Titi",Callicebus donacophilus,-,-,10.9,Least Concern
"Monkey, Central American Spider (Geoffroy's)",Ateles goeffroyi,25.1,-,-,Least Concern
"Monkey, Common Squirrel",Saimiri sciureus,15.2,-,-,Least Concern
"Monkey, DeBrazza's",Cercopithecus neglectus,15,-,-,Least Concern
"Monkey, Diana",Cercopithecus diana,14.4,-,-,Endangered
"Monkey, Patas",Erythrocebus patas,14.5,-,-,Least Concern
"Monkey, Robust Black Spider",Ateles fusciceps robustus,-,,26.3,Least Concern
"Monkey, Schmidt’s Red-tailed",Cercopithecus ascanius schmidti,16,-,-,Least Concern
"Monkey, Southern Black Howler",Alouatta caraya,17.8,-,-,Least Concern
Moose,Alces alces,-,6.1,8.9,Least Concern
"Motmot, Blue-crowned",Momotus momota,7.2,-,-,Least Concern
"Mouse, Perdido Key Beach",Peromyscus polionotus trissylepsis,3.4,-,-,Least Concern
"Murre, Common",Uria aalge,-,-,30.2,Least Concern
"Myna, Bali",Leucopsar rothschildi,9.9,-,-,Endangered
"Mynah, Golden-crested",Ampeliceps coronatus,6,-,-,Least Concern
"Nyala, Lowland",Tragelaphus angasii,-,4.9,8.8,Least Concern
Ocelot,Leopardus pardalis,15.7,-,-,Least Concern
Okapi,Okapia johnstoni,16.4,-,-,Least Concern
"Orangutan, Bornean",Pongo pygmaeus,-,27.8,37.6,Endangered
"Orangutan, Sumatran",Pongo abelii,-,25.4,33.5,Least Concern
"Oropendola, Crested",Psarocolius decumanus,7.1,-,-,Least Concern
"Oryx, Arabian",Oryx leucoryx,-,12.1,14.8,Endangered
"Oryx, Fringe-eared",Oryx gazelle callotis,-,,12.6,Least Concern
